=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-12-12_12-4-31
====================================================================================
12:4:31 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
12:20:5 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4733.511230, 11.058693, 2496.437256>)
12:20:5 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4746.467285, 11.116405, 2496.853516>)
12:20:5 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4760.912598, 11.060468, 2496.739258>)
12:20:6 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4780.940918, 10.535692, 2496.474121>)
12:20:6 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4794.342773, 10.225224, 2497.338379>)
12:20:7 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4808.436035, 10.076577, 2496.812500>)
12:20:7 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4823.045898, 10.070484, 2495.656250>)
12:20:7 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4840.400879, 9.904674, 2492.707520>)
12:20:8 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4864.487793, 9.268032, 2487.698730>)
12:20:28 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4895.654297, 9.435780, 2456.053711>)
12:20:37 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4899.818359, 9.485866, 2457.649658>)
12:21:31 | "76561198040522771" (steamid=76561198040522771) teleported to (pos=<4578.390137, 318.302490, 8202.929688>)
12:21:31 | "Vex": (steamid=76561198040522771) teleported to (pos=4578.39,0,8202.93)
12:21:33 | "Vex" (steamid=76561198040522771) toggled godmode
12:21:34 | "Vex" (steamid=76561198040522771) toggled godmode
12:21:36 | "Vex" (steamid=76561198040522771) toggled godmode
12:21:36 | "Vex" (steamid=76561198040522771) toggled godmode
12:21:49 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4559.038086, 317.957520, 8261.570313>)
12:21:49 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4547.810547, 317.301239, 8267.916992>)
12:21:50 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4534.945801, 316.591003, 8272.816406>)
12:21:59 | "Vex" (steamid=76561198040522771) teleported to crosshair (pos=<4485.287598, 314.425568, 8284.999023>)
12:23:3 | "Vex" (steamid=76561198040522771) toggled godmode
12:23:20 | "Vex" (steamid=76561198040522771) toggled godmode
12:23:21 | "Vex" (steamid=76561198040522771) toggled godmode
12:23:46 | Player "Vex" (steamId=76561198040522771) disconnected from server.
12:23:46 | Player "Vex" (steamId=76561198040522771) initiated disconnect process...
